경찰청대분류,경찰청세분류,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
경찰청대분류,경찰청세분류,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,철길건널목,철길건널목,철길건널목
경찰청대분류,경찰청세분류,횡단중,횡단중,횡단중,차도통행중,차도통행중,차도통행중,길가장자리구역통행중,길가장자리구역통행중,길가장자리구역통행중,보도통행중,보도통행중,보도통행중,기타,기타,기타,정면충돌,정면충돌,정면충돌,측면충돌,측면충돌,측면충돌,추돌,추돌,추돌,기타,기타,기타,후진중충돌,후진중충돌,후진중충돌,공작물충돌,공작물충돌,공작물충돌,주/정차차량 충돌,주/정차차량 충돌,주/정차차량 충돌,도로이탈,도로이탈,도로이탈,기타,기타,기타,전도,전도,전도,전복,전복,전복,철길건널목,철길건널목,철길건널목
경찰청대분류,경찰청세분류,사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명]
대구지방경찰청,대구중부,44,1,46,33,0,35,32,0,33,9,0,11,111,0,121,8,1,10,226,0,363,83,0,143,132,0,213,11,0,14,3,0,4,-,-,-,-,-,-,20,1,21,2,0,2,-,-,-,-,-,-
대구지방경찰청,대구성서,94,3,93,23,0,25,17,0,17,26,0,26,96,3,100,35,0,56,425,1,648,153,1,251,271,1,340,29,0,42,7,1,6,-,-,-,-,-,-,11,0,13,3,0,3,-,-,-,-,-,-
대구지방경찰청,대구강북,66,4,67,23,1,23,10,0,10,29,0,29,8,0,8,14,0,22,533,1,833,127,0,232,27,0,30,11,0,15,17,1,18,-,-,-,-,-,-,7,1,6,8,0,8,1,0,1,-,-,-
인천지방경찰청,인천중부,55,4,51,21,1,24,10,1,9,4,0,4,30,0,32,33,0,53,232,2,368,112,2,165,39,0,69,14,0,20,11,2,13,-,-,-,5,1,4,5,0,5,2,0,2,-,-,-,-,-,-
인천지방경찰청,인천미추홀,111,3,112,32,2,30,5,0,5,15,0,16,135,1,146,67,1,102,455,5,648,209,2,344,144,0,172,47,0,60,3,0,3,1,0,1,-,-,-,11,0,14,3,0,3,-,-,-,-,-,-
인천지방경찰청,인천부평,40,6,35,23,0,25,6,0,6,14,1,13,54,2,55,17,0,21,289,1,379,100,0,154,105,0,147,19,0,25,5,0,6,-,-,-,-,-,-,14,0,14,2,0,2,-,-,-,-,-,-
인천지방경찰청,인천남동,57,1,58,27,1,27,19,0,19,12,0,12,59,0,64,29,0,57,259,0,402,166,0,260,81,0,105,40,0,64,2,1,1,-,-,-,-,-,-,17,0,17,1,1,0,-,-,-,-,-,-
인천지방경찰청,인천서부,100,3,102,41,1,40,15,0,15,19,0,20,115,2,124,67,5,115,443,1,649,305,3,467,372,1,526,47,0,63,8,0,9,-,-,-,-,-,-,25,0,28,2,1,1,-,-,-,-,-,-
인천지방경찰청,인천계양,32,4,34,13,0,13,4,0,4,19,0,19,33,0,34,22,2,34,204,0,289,85,0,128,73,0,98,20,0,32,3,0,3,-,-,-,-,-,-,11,0,14,-,-,-,-,-,-,-,-,-
인천지방경찰청,인천강화,10,0,10,3,0,3,4,0,4,2,1,1,12,1,14,16,0,21,100,3,152,26,2,36,13,1,18,6,0,7,5,2,6,-,-,-,-,-,-,-,-,-,1,0,1,-,-,-,-,-,-
